car,corner,stint,C,age,grip,lt
VER,8,2,2,12.0,1.196648754727051,97.558
VER,9,2,2,12.0,1.196648754727051,97.558
VER,10,2,2,12.0,1.4115929405619374,97.558
VER,0,2,2,13.0,2.324518462312598,97.424
VER,1,2,2,13.0,1.3268131226793134,97.424
VER,2,2,2,13.0,2.056181094387157,97.424
VER,3,2,2,13.0,1.499011962738936,97.424
VER,4,2,2,13.0,1.7197076779622367,97.424
VER,5,2,2,13.0,1.5309769665376456,97.424
VER,6,2,2,13.0,1.1128180472845077,97.424
VER,7,2,2,13.0,1.5467823514022474,97.424
VER,8,2,2,13.0,0.9029778419699662,97.424
VER,9,2,2,13.0,0.9029778419699662,97.424
VER,10,2,2,13.0,1.2779466973313045,97.424
VER,0,2,2,14.0,2.2529651480783133,97.599
VER,1,2,2,14.0,1.681745352080967,97.599
VER,2,2,2,14.0,2.1700554589449568,97.599
VER,3,2,2,14.0,2.1041279140558915,97.599
VER,4,2,2,14.0,2.1354993207128015,97.599
VER,5,2,2,14.0,1.4404627415748472,97.599
VER,6,2,2,14.0,0.8982366622299173,97.599
VER,7,2,2,14.0,0.8552162244971389,97.599
VER,8,2,2,14.0,1.0505839906055456,97.599
VER,9,2,2,14.0,1.0505839906055456,97.599
VER,10,2,2,14.0,1.7605329952200264,97.599
VER,0,2,2,15.0,2.2446600115029565,97.599
VER,1,2,2,15.0,1.7488518427520938,97.599
VER,2,2,2,15.0,1.9712743910498243,97.599
VER,3,2,2,15.0,1.0984396225997124,97.599
VER,4,2,2,15.0,2.3259553686302135,97.599
VER,5,2,2,15.0,1.3455183806038702,97.599
VER,6,2,2,15.0,1.3281033842226986,97.599
VER,7,2,2,15.0,1.6655117461422722,97.599
VER,8,2,2,15.0,1.028028937589114,97.599
VER,9,2,2,15.0,1.028028937589114,97.599
VER,10,2,2,15.0,1.359521268830893,97.599
VER,0,2,2,16.0,2.339990523373991,97.92
VER,1,2,2,16.0,2.1991973366227677,97.92
VER,2,2,2,16.0,2.4022076515566817,97.92
VER,3,2,2,16.0,1.410627943481652,97.92
VER,4,2,2,16.0,1.4847345402313123,97.92
VER,5,2,2,16.0,1.5641249378892574,97.92
VER,6,2,2,16.0,1.6134643079957383,97.92
VER,7,2,2,16.0,1.3392623008511932,97.92
VER,8,2,2,16.0,1.245802775915814,97.92
VER,9,2,2,16.0,1.245802775915814,97.92
VER,10,2,2,16.0,1.3832938376646788,97.92
VER,0,2,2,17.0,1.9490169328374944,97.655
VER,1,2,2,17.0,1.94000573823791,97.655
VER,2,2,2,17.0,2.0139406642798803,97.655
VER,3,2,2,17.0,1.5326888111704617,97.655
VER,4,2,2,17.0,1.6006755931930177,97.655
VER,5,2,2,17.0,1.2649047055052547,97.655
VER,6,2,2,17.0,1.3259188406031752,97.655
VER,7,2,2,17.0,1.4423304525998841,97.655
VER,8,2,2,17.0,1.031960191766955,97.655
VER,9,2,2,17.0,1.031960191766955,97.655
VER,10,2,2,17.0,1.676169070318581,97.655
VER,0,2,2,18.0,2.1065583108880634,97.733
VER,1,2,2,18.0,1.7552788937567312,97.733
VER,2,2,2,18.0,2.0481336052085277,97.733
VER,3,2,2,18.0,1.7808517903321948,97.733
VER,4,2,2,18.0,1.646479757452266,97.733
VER,5,2,2,18.0,1.3610569069967657,97.733
VER,6,2,2,18.0,0.9407068089089496,97.733
